Day , cco , ccoextr , ccoexts , ccx , cgt , cgtpcst , cgttlm , hou , mld , mlx , neb , nex , okc , okctlm , okx
39 ,   0  ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   6  ,   2  ,   1  ,   0  ,   1  ,   0  ,   1  , 
40 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   7  ,   3  ,   1  ,   2  ,   2  ,   0  ,   2  , 
41 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   1  ,   1  ,   0  ,   1  ,   0  ,   2  , 
42 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   0  ,   5  ,   2  ,   1  ,   0  ,   1  ,   0  ,   0  , 
43 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   0  ,   8  ,   3  ,   0  ,   2  ,   4  ,   0  ,   0  , 
44 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   4  ,   1  ,   5  ,   0  ,   0  ,   0  ,   2  , 
45 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   5  ,   2  ,   0  ,   2  ,   0  ,   0  , 
46 ,   0  ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   0  ,   0  ,   0  ,   1  ,   0  ,   1  , 
47 ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   5  ,   2  ,   1  ,   0  ,   1  ,   0  ,   0  , 
48 ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   2  ,   3  ,   2  ,   1  ,   0  ,   4  ,   0  ,   2  , 
49 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   5  ,   4  ,   0  ,   1  ,   0  ,   0  , 
50 ,   0  ,   0  ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   6  ,   5  ,   0  ,   0  ,   0  ,   0  ,   2  , 
51 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   4  ,   6  ,   1  ,   0  ,   0  ,   0  ,   0  , 
52 ,   0  ,   5  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   3  ,   3  ,   0  ,   0  ,   0  ,   2  , 
53 ,   3  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   4  ,   1  ,   0  ,   0  ,   2  ,   0  ,   0  , 
54 ,   0  ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   6  ,   1  ,   3  ,   0  ,   1  ,   0  ,   0  , 
55 ,   0  ,   0  ,   1  ,   0  ,   0  ,   0  ,   1  ,   0  ,   4  ,   1  ,   1  ,   0  ,   0  ,   0  ,   0  , 
56 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   4  ,   0  ,   1  ,   0  ,   0  ,   0  ,   0  , 
57 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   0  ,   5  ,   4  ,   3  ,   0  ,   1  ,   2  ,   0  , 
